Path,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6
*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,0.592,0.381,0.003,-0.168,0.574,-0.168
*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,0.592,0.523,-0.139,-0.168,0.574,-0.168
*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,0.5,1.045,-0.546,0.381,0.003,-0.168
*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,0.5,1.045,-0.546,-0.191,0.574,-0.168
*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,0.5,0.474,0.003,-0.168,0.574,-0.168
*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,0.5,-0.166,0.665,0.381,0.003,-0.168
*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,0.5,-0.166,0.665,-0.191,0.574,-0.168
*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,0.502,-0.168,0.665,0.381,0.003,-0.168
*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,0.502,-0.168,0.665,-0.191,0.574,-0.168
*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,0.592,-0.191,0.574,-0.168,0.574,-0.168
*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,0.5,-0.166,0.665,0.523,-0.139,-0.168
